inventory_id,snapshot_date,warehouse_id,warehouse_city,region,product_id,batch_id,manufacture_date,expiry_date,opening_stock_units,received_units,sold_units,damaged_units,closing_stock_units,reorder_level_units,stockout_days,near_expiry_units_90d,inventory_value_inr
I000001,2024-01-31,W01,Delhi,North,P001,P001-01-W01,2023-05-01,2026-05-01,1892,853,782,14,1949,787,0,0,40792.57
I000002,2024-01-31,W01,Delhi,North,P002,P002-01-W01,2023-02-01,2026-02-01,1931,990,1016,9,1896,563,0,0,46053.84
I000003,2024-01-31,W01,Delhi,North,P003,P003-01-W01,2022-11-01,2024-11-01,1873,1199,1106,9,1957,749,0,0,75853.32
I000004,2024-01-31,W01,Delhi,North,P004,P004-01-W01,2023-08-01,2025-02-01,1963,1406,1286,15,2068,556,0,0,73993.04
I000005,2024-01-31,W01,Delhi,North,P005,P005-01-W01,2023-02-01,2025-08-01,657,513,589,8,573,512,0,0,26082.96
I000006,2024-01-31,W01,Delhi,North,P006,P006-01-W01,2023-05-01,2024-11-01,1010,1317,1000,10,1317,892,0,0,76425.51
I000007,2024-01-31,W01,Delhi,North,P007,P007-01-W01,2023-08-01,2025-02-01,1731,326,1790,11,256,638,0,0,16102.4
I000008,2024-01-31,W01,Delhi,North,P008,P008-01-W01,2022-11-01,2025-05-01,1046,543,1316,9,264,670,0,0,16917.12
I000009,2024-01-31,W01,Delhi,North,P009,P009-01-W01,2023-05-01,2024-11-01,1324,1256,516,1,2063,886,0,0,133414.21
I000010,2024-01-31,W01,Delhi,North,P010,P010-01-W01,2022-11-01,2025-11-01,2014,93,1022,14,1071,799,0,0,79243.29
I000011,2024-01-31,W01,Delhi,North,P011,P011-01-W01,2023-05-01,2025-11-01,815,296,1111,0,0,514,3,0,0
I000012,2024-01-31,W01,Delhi,North,P012,P012-01-W01,2023-02-01,2026-02-01,1116,640,816,10,930,738,0,0,206646
I000013,2024-01-31,W01,Delhi,North,P013,P013-01-W01,2023-05-01,2024-11-01,1842,975,1082,15,1720,575,0,0,46852.8
I000014,2024-01-31,W01,Delhi,North,P014,P014-01-W01,2023-08-01,2025-02-01,1933,903,1209,7,1620,895,0,0,41050.8
I000015,2024-01-31,W01,Delhi,North,P015,P015-01-W01,2023-08-01,2026-08-01,1396,408,1804,0,0,871,11,0,0
I000016,2024-01-31,W01,Delhi,North,P016,P016-01-W01,2023-05-01,2025-11-01,2411,1397,1866,13,1929,706,0,0,93440.76
I000017,2024-01-31,W01,Delhi,North,P017,P017-01-W01,2023-08-01,2026-02-01,1614,291,572,8,1325,599,0,0,65216.5
I000018,2024-01-31,W01,Delhi,North,P018,P018-01-W01,2023-05-01,2025-11-01,574,488,866,12,184,538,0,0,12580.08
I000019,2024-01-31,W01,Delhi,North,P019,P019-01-W01,2023-05-01,2025-05-01,1708,173,1042,16,823,776,0,0,57132.66
I000020,2024-01-31,W01,Delhi,North,P020,P020-01-W01,2023-08-01,2025-02-01,1883,1409,843,9,2440,587,0,0,137323.2
