sale_id,invoice_date,product_id,distributor_id,region,state,city,channel,quantity_units,gross_sales_inr,discount_inr,net_sales_inr,cogs_inr,gross_profit_inr,units_returned,return_value_inr,doctor_specialty,sales_rep_id,payment_days,on_time_payment
S000001,2024-06-18,P023,D018,West,Rajasthan,Jaipur,Clinic,248,47090.24,2901.09,44189.15,23197.92,20991.23,0,0,Orthopedist,SR001,18,Yes
S000002,2025-08-31,P033,D023,East,Odisha,Bhubaneswar,Clinic,373,57106.3,4348.16,52758.14,26195.79,26562.35,0,0,Not Applicable,SR002,51,Yes
S000003,2024-06-17,P002,D005,West,Gujarat,Ahmedabad,Government Tender,196,9425.64,1790.87,7634.77,4760.84,2873.93,0,0,Diabetologist,SR003,35,No
S000004,2024-05-14,P010,D036,Central,Madhya Pradesh,Indore,Retail Pharmacy,247,40386.97,2790.32,37596.65,18275.53,19321.12,0,0,Not Applicable,SR004,29,Yes
S000005,2025-03-20,P024,D017,West,Gujarat,Ahmedabad,Hospital,425,181317.75,21758.13,159559.62,92038,67521.62,0,0,General Physician,SR005,13,Yes
S000006,2024-07-22,P027,D060,Central,Madhya Pradesh,Indore,Government Tender,150,10936.5,2077.93,8858.57,5158.5,3700.07,0,0,Pulmonologist,SR006,54,Yes
S000007,2024-12-09,P014,D055,South,Karnataka,Bengaluru,Government Tender,379,19014.43,3612.74,15401.69,9603.86,5797.83,0,0,Orthopedist,SR007,30,Yes
S000008,2025-02-28,P008,D006,West,Rajasthan,Jaipur,Retail Pharmacy,212,30568.28,2986.25,27582.03,13584.96,13997.07,0,0,Not Applicable,SR008,32,Yes
S000009,2024-03-02,P023,D030,West,Rajasthan,Jaipur,Government Tender,320,60761.6,11544.7,49216.9,29932.8,19284.1,0,0,Pulmonologist,SR009,71,No
S000010,2025-11-26,P013,D048,Central,Madhya Pradesh,Indore,Clinic,236,13178.24,1443.02,11735.22,6428.64,5306.58,0,0,Cardiologist,SR010,26,Yes
S000011,2025-02-27,P031,D052,West,Maharashtra,Mumbai,Hospital,209,25416.49,3049.98,22366.51,12220.23,10146.28,0,0,Cardiologist,SR011,30,Yes
S000012,2024-01-17,P026,D034,East,West Bengal,Kolkata,E-Pharmacy,283,14333.95,1395.2,12938.75,7239.14,5699.61,0,0,Orthopedist,SR012,11,Yes
S000013,2025-10-30,P020,D034,East,West Bengal,Kolkata,E-Pharmacy,143,18106.66,1090.65,17016.01,8048.04,8967.97,0,0,Not Applicable,SR013,22,Yes
S000014,2025-05-08,P015,D050,North,Uttar Pradesh,Lucknow,Government Tender,55,3311,629.09,2681.91,1562,1119.91,0,0,Diabetologist,SR014,16,No
S000015,2024-07-14,P003,D033,South,Telangana,Hyderabad,Clinic,189,15530.13,1095.02,14435.11,7325.64,7109.47,0,0,Orthopedist,SR015,21,Yes
S000016,2025-10-21,P031,D007,South,Karnataka,Bengaluru,Hospital,206,25051.66,3006.2,22045.46,12044.82,10000.64,0,0,General Physician,SR016,46,No
